,index,name
0,0,Accomack
1,1,Albemarle
2,2,Alexandria City
3,3,Alleghany
4,4,Amelia
5,5,Amherst
6,6,Appomattox
7,7,Arlington
8,8,Augusta
9,9,Bath
10,10,Bedford
11,11,Bland
12,12,Botetourt
13,13,Bristol
14,14,Brunswick
15,15,Buchanan
16,16,Buckingham
17,17,Buena Vista City
18,18,Campbell
19,19,Caroline
20,20,Carroll
21,21,Charles City
22,22,Charlotte
23,23,Charlottesville City
24,24,Chesapeake City
25,25,Chesterfield
26,26,Clarke
27,27,Colonial Heights City
28,28,Covington City
29,29,Craig
30,30,Culpeper
31,31,Cumberland
32,32,Danville City
33,33,Dickenson
34,34,Dinwiddie
35,35,Emporia City
36,36,Essex
37,37,Fairfax
38,38,Fairfax City
39,39,Falls Church City
40,40,Fauquier
41,41,Floyd
42,42,Fluvanna
43,43,Franklin
44,44,Franklin City
45,45,Frederick
46,46,Fredericksburg City
47,47,Galax City
48,48,Giles
49,49,Gloucester
50,50,Goochland
51,51,Grayson
52,52,Greene
132,132,Greensville
53,53,Halifax
54,54,Hampton City
55,55,Hanover
56,56,Harrisonburg City
57,57,Henrico
58,58,Henry
59,59,Highland
60,60,Hopewell City
61,61,Isle Of Wight
62,62,James City
63,63,King And Queen
64,64,King George
65,65,King William
66,66,Lancaster
67,67,Lee
68,68,Lexington City
69,69,Loudoun
70,70,Louisa
71,71,Lunenburg
72,72,Lynchburg City
73,73,Madison
74,74,Manassas City
75,75,Manassas Park City
76,76,Martinsville City
77,77,Mathews
78,78,Mecklenburg
79,79,Middlesex
80,80,Montgomery
81,81,Nelson
82,82,New Kent
83,83,Newport News City
84,84,Norfolk City
85,85,Northampton
86,86,Northumberland
87,87,Norton City
88,88,Nottoway
89,89,Orange
90,90,Page
91,91,Patrick
92,92,Petersburg City
93,93,Pittsylvania
94,94,Poquoson City
95,95,Portsmouth City
96,96,Powhatan
97,97,Prince Edward
98,98,Prince George
99,99,Prince William
100,100,Pulaski
101,101,Radford
102,102,Rappahannock
103,103,Richmond
104,104,Richmond City
105,105,Roanoke
106,106,Roanoke City
107,107,Rockbridge
108,108,Rockingham
109,109,Russell
110,110,Salem
111,111,Scott
112,112,Shenandoah
113,113,Smyth
114,114,Southampton
115,115,Spotsylvania
116,116,Stafford
117,117,Staunton City
118,118,Suffolk City
119,119,Surry
120,120,Sussex
121,121,Tazewell
122,122,Virginia Beach City
123,123,Warren
124,124,Washington
125,125,Waynesboro City
126,126,Westmoreland
127,127,Williamsburg City
128,128,Winchester City
129,129,Wise
130,130,Wythe
131,131,York
